"Test Case ID","Workstream","Phase","Priority","Environment(s)","Title","Category/Tag","Objective","Steps (Action => Expected)","Pass/Fail Criteria","Suite File"
"TC-P5.2-04","WS2","5.2","P1","DEV/QAR/PROD/HFX","Broken Phase 5 link; duplicate description link","DOC DEFECTS","","Prereqs link Phase 5 as `Phase05_DeployWWApplications.md` (actual `Phase05_DeployWW1.0AndConfig.md`) => Broken link (3×) | Description link #4 duplicates #3 (`applications-deployment-WW`) => Placeholder/wrong link","Defects D-P5.2-1/2 logged.","test-cases/WS2-Payments-Oracle/TC_Phase05.2_DeployWWPayments.md"
"TC-P5.3-01","WS2","5.3","P1","DEV/QAR/PROD/HFX","SSO app added is the Payments app, not WW1.0","CRITICAL — correct instance","","Inspect the SSO app/integration created => Targets the **Payments** instance/portal | Confirm not a copy-paste of the WW1.0 (5.1) config => Distinct, correct app","Security controls bound to the Payments instance. Wrong instance = Fail (S1).","test-cases/WS2-Payments-Oracle/TC_Phase05.3_AppSecurity_Payments.md"
"TC-P5.3-02","WS2","5.3","P1","DEV/QAR/PROD/HFX","","Security — SSO + auth on Payments","","Okta SSO login to Payments portal => Success; correct RBAC | Invalid login handled; auth events logged => Yes","Payments SSO/auth correct.","test-cases/WS2-Payments-Oracle/TC_Phase05.3_AppSecurity_Payments.md"
"TC-P5.3-03","WS2","5.3","P1","DEV/QAR/PROD/HFX","","CRITICAL — PHI / ForcePoint DSS on payments data path","","Confirm ForcePoint DSS fingerprinting covers the payments PHI/financial data path => Configured, correct client-ID","DLP covers payments data path.","test-cases/WS2-Payments-Oracle/TC_Phase05.3_AppSecurity_Payments.md"
"TC-P5.3-04","WS2","5.3","P1","DEV/QAR/PROD/HFX","Missing AC; copy-paste risk; status inconsistency","DOC DEFECTS","","No Acceptance Criteria; near-identical to 5.1; checklist ""NOT STARTED"" => Logged D-P5.3-1..2","Defects logged.","test-cases/WS2-Payments-Oracle/TC_Phase05.3_AppSecurity_Payments.md"
"TC-P7-01","WS4","7","P2","Single ticket","SSIS connection strings updated for the new tenant","CRITICAL — cross-tenant safety","","Inspect SSIS `.dtsConfig` connection strings => Point at the new tenant's DBs only | Confirm no residual pointer to another tenant/source => No cross-tenant string","All connection strings tenant-correct. A wrong string = cross-tenant data leak = Fail (S1).","test-cases/WS4-Jobs-Correspondence-Reporting/TC_Phase07_TWSJobs.md"
"TC-P7-02","WS4","7","P2","Single ticket","Business unit entries added to config tables","Config data","","Confirm BU entries added in `WindwardInterfaces` config table(s) => Present | Verify exact table name (doc hedges ""`tblClient_BU` or equivalent"") with DBA => Confirmed authoritative name","BU entries present in the correct table.","test-cases/WS4-Jobs-Correspondence-Reporting/TC_Phase07_TWSJobs.md"
"TC-P7-03","WS4","7","P2","Single ticket","FTP connections/paths for Oracle integration correct","Integration","","Confirm FTP connections and file paths configured => Correct endpoints/paths","FTP/Oracle file movement configured correctly.","test-cases/WS4-Jobs-Correspondence-Reporting/TC_Phase07_TWSJobs.md"
"TC-P7-04","WS4","7","P2","Single ticket","Automated jobs run successfully for the tenant","Functional — job execution","","Trigger/observe scheduled TWS jobs => Run, complete, correct data refresh | Verify dependency chains and restart/error handling => Behave correctly | Confirm Tier-appropriate job spec set applied => Correct set","Jobs execute correctly end-to-end.","test-cases/WS4-Jobs-Correspondence-Reporting/TC_Phase07_TWSJobs.md"
"TC-P7-05","WS4","7","P2","Single ticket","TBD owners; non-authoritative table name; status","DOC DEFECTS","","Most owners + all managers ""TBD""; checklist ""NOT STARTED""; ""`tblClient_BU` or equivalent"" => Logged D-P7-1..2","Defects logged.","test-cases/WS4-Jobs-Correspondence-Reporting/TC_Phase07_TWSJobs.md"
"TC-P9-01","WS4","9","P1","Single ticket","Connection strings point at the new tenant DB","CRITICAL — cross-tenant","","Inspect Trusted View job connection strings => New tenant DB only","No cross-tenant rebuild risk. Wrong DB = Fail (S1).","test-cases/WS4-Jobs-Correspondence-Reporting/TC_Phase09_TrustedView.md"
"TC-P9-02","WS4","9","P1","Single ticket","Jobs scheduled & refresh confirmed","Step 1 — scheduling/refresh","","Confirm jobs scheduled at appropriate intervals => Scheduled | Confirm successful execution + data refresh => Refresh confirmed | Confirm off-peak scheduling to avoid rebuild timeouts on large volumes => Off-peak","Jobs scheduled and refreshing.","test-cases/WS4-Jobs-Correspondence-Reporting/TC_Phase09_TrustedView.md"
"TC-P9-03","WS4","9","P1","Single ticket","All tables populated, counts/integrity correct","CRITICAL — Step 2 rebuild integrity","","Run rebuild stored procedures (Step 2) => Complete without error | Verify **no table left unpopulated** => All populated | Verify row counts / integrity vs business rules => Consistent","Rebuild leaves a complete, integral Trusted View. Empty/partial table = Fail (S1).","test-cases/WS4-Jobs-Correspondence-Reporting/TC_Phase09_TrustedView.md"
"TC-P9-04","WS4","9","P1","Single ticket","Step 2 only after Step 1 COMPLETE","Sequencing","","Confirm rebuild runs only after jobs configured => Order honored","Step order respected.","test-cases/WS4-Jobs-Correspondence-Reporting/TC_Phase09_TrustedView.md"
"TC-P9-05","WS4","9","P1","Single ticket","Mermaid node concat; typo; no distinctive ref link","DOC DEFECTS","","Mermaid `S7[...]S8[...]` nodes concatenated on one line => Logged | ""checksvalidation"" typo (Step 2 desc) => Logged | Only generic `/architecture` link (no Trusted View spec) => Logged","Defects D-P9-1..3 logged.","test-cases/WS4-Jobs-Correspondence-Reporting/TC_Phase09_TrustedView.md"
"TC-P6.1-01","WS5","6.1","P2","All envs (single ticket)","All environments covered despite one ticket","Env coverage — single ticket","This phase uses a single ticket (""deploy to all environments"") — verify no environment is skipped (unlike the per-env model of Phase 5).","Confirm the deployment covers DEV, QAR, PROD, HFX => All four deployed | Confirm none lost due to single-ticket model => Complete coverage","Business Service deployed to every environment.","test-cases/WS5-Member-Facing/TC_Phase06.1_DeployBusinessService.md"
"TC-P6.1-02","WS5","6.1","P2","All envs (single ticket)","Service running & validated","Functional — service health","","NextGen team + SQA confirm service running => Healthy | SQA smoke test (note: SQA does smoke only here, not full functional) => Passes","Service running and smoke-validated.","test-cases/WS5-Member-Facing/TC_Phase06.1_DeployBusinessService.md"
"TC-P6.1-03","WS5","6.1","P2","All envs (single ticket)","Rollback path exercised if deploy fails","Rollback","","On failure, ""AJ & NextGen team"" perform rollback => Service restored","Rollback works. (Note ambiguity: ""AJ"" unidentified — see defect.)","test-cases/WS5-Member-Facing/TC_Phase06.1_DeployBusinessService.md"
"TC-P6.1-04","WS5","6.1","P2","All envs (single ticket)","Inconsistent infosec prereq ref; TBD owners; unidentified ""AJ""","DOC DEFECTS","","Prereq references `Phase03.1_Infosec.md` (Phase 5 uses `Phase03.3_Infosec_IT_Intake.md`; actual infosec is 3.4) => Inconsistent ref | Manager/IT Lead = ""TBD""; rollback owner ""AJ"" lacks full name/email => Logged","Defects D-P6.1-1..2 logged.","test-cases/WS5-Member-Facing/TC_Phase06.1_DeployBusinessService.md"
"TC-P9.1-01","TBD","9.1","P2","Single ticket","Provider data synchronized completely","CRITICAL — sync correctness","","Run job; compare provider counts source vs target => Counts match; no partial sync | Spot-check known providers copied => Present and correct","Full, accurate provider sync. Partial sync = Fail.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase09.1_ProviderCopyJob.md"
"TC-P9.1-02","TBD","9.1","P2","Single ticket","Connection strings tenant-specific","Cross-tenant safety","","Inspect job connection strings => New tenant source/target only","No cross-tenant copy risk.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase09.1_ProviderCopyJob.md"
"TC-P9.1-03","TBD","9.1","P2","Single ticket","Service account permissions sufficient","Permissions","","Confirm job service account has required DB permissions => No permission errors (per Common Issues)","Job runs without permission failure.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase09.1_ProviderCopyJob.md"
"TC-P9.1-04","TBD","9.1","P2","Single ticket","Runs at appropriate intervals","Scheduling","","Confirm schedule configured => Correct interval","Scheduled correctly.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase09.1_ProviderCopyJob.md"
"TC-P9.1-05","TBD","9.1","P2","Single ticket","Embedded ""links"" are tasks; TBD managers; status","DOC DEFECTS","","Description items 3–6 are instructions, not links; managers TBD; checklist ""IN PROGRESS"" => Logged D-P9.1-1","Defect logged.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase09.1_ProviderCopyJob.md"
"TC-P9.2-01","TBD","9.2","P1","Single ticket","Snapshot/backup exists before any downsizing","CRITICAL — Safety","","Confirm EC2/EBS snapshot taken before resource removal => Snapshot exists (rollback per Common Issues) | Block changes if no snapshot => Hard stop","No downsizing without a restorable snapshot. Missing = Fail (S1).","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase09.2_RemoveExtraResources.md"
"TC-P9.2-02","TBD","9.2","P1","Single ticket","EBS cannot be shrunk","CRITICAL — DOC defect / AWS limitation","Instructions/AC say ""reduce EBS volume sizes,"" but AWS EBS volumes **cannot be shrunk** (the doc's own Common-Issues table notes ""can only increase volume size""). The real method is **delete/recreate** smaller, not ""reduce.""","Confirm the approach used is delete-and-recreate (with snapshot/migration), not in-place shrink => Correct method | Flag the contradictory guidance => Logged","Correct (delete/recreate) approach used; defect D-P9.2-1 logged. Attempting in-place EBS shrink = Fail.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase09.2_RemoveExtraResources.md"
"TC-P9.2-03","TBD","9.2","P1","Single ticket","CPU/disk reduced based on CloudWatch, headroom retained","Right-sizing correctness","","Base reductions on CloudWatch utilization for the Tier => Data-driven | Confirm adequate headroom retained (not over-reduced) => Safe margin","Reductions justified by metrics with safe headroom.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase09.2_RemoveExtraResources.md"
"TC-P9.2-04","TBD","9.2","P1","Single ticket","All apps/services validated post-change against thresholds","Performance — CRITICAL","","After resizing, run performance validation across all apps/services => Within thresholds | Confirm no degradation/outage => Healthy","Performance acceptable after downsizing.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase09.2_RemoveExtraResources.md"
"TC-P9.2-05","TBD","9.2","P1","Single ticket","New configs + cost savings recorded in Env Variables","Documentation","","Update Env Variables spreadsheet with new configs => Updated | Document cost savings => Recorded","Configs + savings documented.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase09.2_RemoveExtraResources.md"
"TC-P9.2-06","TBD","9.2","P1","Single ticket","TBD owners; status","DOC DEFECTS","","All Work Assignment owners + Infra Team + manager ""TBD""; checklist ""IN PROGRESS"" => Logged D-P9.2-2","Defect logged.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase09.2_RemoveExtraResources.md"
"TC-P10-01","TBD","10","P1","PROD/HFX","Backup taken & verified before EVERY removal","CRITICAL — Safety","","For each target DB, confirm a backup is taken **before** running removal scripts => Backup exists | Confirm backup is restorable (integrity verified) => Restorable | Block removal if no verified backup => Hard stop","No deletion without a verified, restorable backup. Missing = Fail (S1).","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase10_RemoveSLEData.md"
"TC-P10-02","TBD","10","P1","PROD/HFX","Tenant live on AWS + business sign-off before removal","CRITICAL — Go/no-go gate","","Confirm tenant verified live/operational on AWS => Confirmed | Confirm documented business sign-off for COM data removal => Sign-off on file | Confirm migration validated (environment testing complete) => Validated","All go/no-go gates satisfied and documented before any removal. Any missing = Fail (S1).","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase10_RemoveSLEData.md"
"TC-P10-03","TBD","10","P1","PROD/HFX","Only the tenant's SLE/Selector data removed","CRITICAL — Scope correctness","","Verify Selector Type + Selector Values match the migrated tenant exactly (from Env Variables) => Exact | Confirm removal scripts target only those selectors => Scoped correctly | Confirm **no other client's** data is in scope => Isolated","Deletion strictly limited to this tenant's SLE data. Over-scope = Fail (S1, other-client data loss).","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase10_RemoveSLEData.md"
"TC-P10-04","TBD","10","P1","PROD/HFX","Record counts prove correct removal","CRITICAL — Before/after validation","","Capture record counts **before** removal => Baseline recorded | Capture counts **after** removal => Recorded | Delta equals expected tenant-data volume; SLE data confirmed gone; non-tenant counts unchanged => Reconciles","Before/after counts reconcile; SLE data gone, everything else intact.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase10_RemoveSLEData.md"
"TC-P10-05","TBD","10","P1","PROD/HFX","Removal handles constraints without corruption","Integrity — FK/dependencies","","If FK constraints/dependencies block removal, follow documented resolution (remove dependents first / temporarily disable) => Clean removal | Post-removal integrity check on remaining COM data => No corruption/orphans","Constraints handled; COM remains integral.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase10_RemoveSLEData.md"
"TC-P10-06","TBD","10","P1","PROD/HFX","Steps executed in order 1→2→3→4","Sequencing","","Windward (1) → Payment (2) → Config (3) → AWS Claims Domain (4), each prior COMPLETE => Order honored","Strict step order respected.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase10_RemoveSLEData.md"
"TC-P10-07","TBD","10","P1","PROD/HFX","Removal scheduled off-peak; batched for large volumes","Performance/timing","","Confirm large-volume removals scheduled off-peak / batched (per Common Issues) => No production impact","Production unaffected during removal.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase10_RemoveSLEData.md"
"TC-P10-08","TBD","10","P1","PROD/HFX","Applicability TODO for KCL & Prebuild BU","DOC / open question","","Note the phase-top TODO: ""Double-check with Mel how relevant this activity is with KCL & Prebuild BU"" => Resolve before running for those clients | Managers ""TBD"" throughout => Logged","Applicability confirmed with Mel before execution for KCL/Prebuild; defect D-P10-1 logged.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase10_RemoveSLEData.md"
"TC-P11-01","TBD","11","P1","PROD only","Phase 10 fully complete & validated before online","CRITICAL — Gate","","Confirm all four Phase 10 removals Done & validated by DBA => Confirmed | Confirm DB integrity post-removal => Intact | Block bring-online if any Phase 10 step incomplete => Hard stop","COM brought online only after Phase 10 verified complete.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase11_BringComDBOnlinePROD.md"
"TC-P11-02","TBD","11","P1","PROD only","PROD only","Environment gating","","Confirm ticket targets PRODUCTION only => Correct | No DEV/QAR bring-online performed => None","PROD-only scope honored.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase11_BringComDBOnlinePROD.md"
"TC-P11-03","TBD","11","P1","PROD only","COM online, reachable, services running","CRITICAL — Online + connectivity","","DBA brings Windward_Commercial online => Online | Verify DB connectivity & accessibility => Reachable | Confirm SQL Server services running properly => Running | Document exact time brought online => Timestamp recorded","COM online and healthy.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase11_BringComDBOnlinePROD.md"
"TC-P11-04","TBD","11","P1","PROD only","Apps connect & operate against COM","SQA — application connectivity","","SQA validates application connectivity to COM => Apps connect | Confirm no errors post-online (monitor window) => Clean","Applications operate normally against the online COM.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase11_BringComDBOnlinePROD.md"
"TC-P11-05","TBD","11","P1","PROD only","Application teams & stakeholders notified","Comms","","Confirm app teams/stakeholders notified COM is operational => Notified","Notifications sent; business resumes.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase11_BringComDBOnlinePROD.md"
"TC-P11-06","TBD","11","P1","PROD only","Failure paths handled","Contingency — known issues","","If DB won't come online (corruption/config) → review logs, integrity, **restore from backup** if needed => Recovery path works | App connectivity / service-start / performance issues → documented resolutions applied => Resolved","Failure scenarios have working recovery (incl. restore from the Phase 10 backups).","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_Phase11_BringComDBOnlinePROD.md"
"TC-PX-01","TBD","X","P1","QAR/PROD (UAT)","No E2E start until every prior phase passes","Gate — all phases complete","","Confirm every phase 1–12 COMPLETE with its suite executed/passing (or risk-accepted) => All complete | Confirm placeholder phases (7.1–7.5, 8, 12) were authored & passed, not skipped on empty templates => Real coverage","E2E begins only when all upstream phases genuinely pass. (Gap G7 placeholders must be resolved first.)","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_PhaseX_EndToEndTest_UAT.md"
"TC-PX-02","TBD","X","P1","QAR/PROD (UAT)","Testing backlog, strategy, plan, cases in place","Feature + backlog built","","Confirm Jira **Feature** created (not Story) with correct title + Testing/Strategy links => Feature created | Confirm SQA built the testing backlog: strategy, execution plan, cases, automation (if needed) => Built","Feature + complete testing backlog exist and link to the strategy.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_PhaseX_EndToEndTest_UAT.md"
"TC-PX-03","TBD","X","P1","QAR/PROD (UAT)","Full onboarding behaves correctly end-to-end","Functional E2E — cross-workstream","","Execute end-to-end functional flows spanning WS1–WS5: member enrollment → eligibility (WS3) → claims adjudication → payments (WS2) → correspondence/reporting (WS4) → portal/mobile access (WS5) => Correct end-to-end | Confirm data consistent across Windward, domain services, Trusted View, on-prem replicas => Consistent","Onboarded tenant works correctly across all workstreams.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_PhaseX_EndToEndTest_UAT.md"
"TC-PX-04","TBD","X","P1","QAR/PROD (UAT)","Tenant meets performance/load targets for its Tier","Performance — acceptance","","Run load representative of the Tier's member/claims volume => Within response-time & resource thresholds | Confirm WW-Shrink-reduced DBs + right-sized infra (Phase 9.2) sustain load => Acceptable","Performance acceptance met for the Tier.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_PhaseX_EndToEndTest_UAT.md"
"TC-PX-05","TBD","X","P1","QAR/PROD (UAT)","Business signs off","UAT — business acceptance","","Business/UAT participants validate key scenarios => Accepted | UAT results documented => Recorded","Business UAT sign-off obtained.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_PhaseX_EndToEndTest_UAT.md"
"TC-PX-06","TBD","X","P1","QAR/PROD (UAT)","Critical/High bugs resolved before go-live","Exit gate — bug resolution","","Confirm bugs reported, tracked (dashboards), and **all critical/high resolved** => Resolved | Confirm results documented/reported via Jira => Reported","No open Critical/High defects at go-live. This is the hard exit gate.","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_PhaseX_EndToEndTest_UAT.md"
"TC-PX-07","TBD","X","P1","QAR/PROD (UAT)","""Phase 1 through Phase 13"" reference","DOC DEFECT","","Step intro says ""Phase 1 through Phase 13"" but the playbook ends at Phase 12 / Phase X => No Phase 13 exists","Defect D-PX-1 logged (off-by-one phase reference).","test-cases/TBD-Cleanup-Cutover-DR-UAT/TC_PhaseX_EndToEndTest_UAT.md"
